ID	title	description	link	image_link	availability	price	google_​​product_category	identifier_exists
57	1 Tier - Hand Platform Trolley Truck	This industrial platform trolley cart has a heavy 300kg carrying capacity with large rubber wheels making it ideal for heavy industry applications. Its large 125mm (5") rubber wheels allow the trolley to glide over small bumps and debris in any warehouse, even with heavy loads.	https://arrowwarehousing.co.nz/1-tier-hand-platform-trolley-truck	http://localhost:15536/images/thumbs/0000381_1-tier-hand-platform-trolley-truck.jpeg	out of stock	120.00 NZD	Hand Trolleys	false
55	1 Tier (Extended Length) - Platform Trolley	This 1.35m trolley is suitable for the most demanding industrial environments and is built to last.	https://arrowwarehousing.co.nz/1-tier-extended-length-platform-trolley	http://localhost:15536/images/thumbs/0000379_1-tier-extended-length-platform-trolley.jpeg	in stock	199.00 NZD	Hand Trolleys	false
38	100kg Industrial Platform Scales (40x30cm)	These scales feature a large tray that can weigh and count all sorts of items quickly and accurately.	https://arrowwarehousing.co.nz/100kg-industrial-platform-scales-40x30cm	http://localhost:15536/images/thumbs/0000341_100kg-industrial-platform-scales-40x30cm.jpeg	out of stock	118.00 NZD	Parcel Scales	false
67	150  kg Platform scales - NZ Trade Approved	These scales are TRADE approved for commercial use*.  Perfect for any business weighing items that require weight certification .  The scales weigh to a maximum capacity of 150kg within an accuracy of 50g	https://arrowwarehousing.co.nz/150-kg-platform-scales-nz-trade-approved	http://localhost:15536/images/thumbs/0000422_150-kg-platform-scales-nz-trade-approved.jpeg	out of stock	390.00 NZD	Trade Approved	false
33	150kg Industrial Platform Scales (40x50cm)	These scales feature a large tray that can weigh and count all sorts of items quickly and accurately.	https://arrowwarehousing.co.nz/150kg-industrial-platform-scales-40x50cm	http://localhost:15536/images/thumbs/0000326_150kg-industrial-platform-scales-40x50cm.jpeg	in stock	130.00 NZD	Parcel Scales	false
34	150kg Stainless Steel Industrial Platform Scales (40x50cm)	These large Platform Scales (40x50cm) feature stainless steel construction designed to last in high humidity environments, such as chillers and wet areas.  Weigh and count items quickly and accurately.	https://arrowwarehousing.co.nz/150kg-stainless-steel-industrial-platform-scales-40x50cm	http://localhost:15536/images/thumbs/0000328_150kg-stainless-steel-industrial-platform-scales-40x50cm.jpeg	in stock	190.00 NZD	Parcel Scales	false
27	15kg Precision Digital Counting Scales	With a precision 0.5g accuracy, these digital counting scales feature a LCD screen display showing unit weight, quantity and total weight to ensure an accurate count of small items.	https://arrowwarehousing.co.nz/15kg-precision-digital-counting-scales	http://localhost:15536/images/thumbs/0000320_15kg-precision-digital-counting-scales.jpeg	in stock	169.00 NZD	Counting Scales	false
69	15kg Precision scales - NZ Trade Approved	These scales are TRADE approved for commercial use*.  Perfect for any business weighing items that require weight certification .  The scales weight to a maximum capacity of 15kg within an accuracy of 5g	https://arrowwarehousing.co.nz/15kg-precision-scales-nz-trade-approved	http://localhost:15536/images/thumbs/0000447_15kg-precision-scales-nz-trade-approved.jpeg	in stock	200.00 NZD	Trade Approved	false
32	15kg Pricing Scales	These durable digital bench scales feature a LCD screen display with weight, unit price and total price (which displays on the front and back of the scales) as well as a backup battery for use with no power supply.	https://arrowwarehousing.co.nz/15kg-retail-pricing-scales	http://localhost:15536/images/thumbs/0000325_15kg-pricing-scales.jpeg	in stock	99.00 NZD	Pricing Scales	false
39	15kg Retail Pricing Weighing Scales - NZ Trade Approved	These scales are TRADE approved for retail use*.  Perfect for any business weighing and pricing items for sale to the public.  The scales weight to a maximum capacity of 15kg within a highly accurate +/- 5g.	https://arrowwarehousing.co.nz/15kg-retail-pricing-weighing-scales-nz-trade-approved	http://localhost:15536/images/thumbs/0000342_15kg-retail-pricing-weighing-scales-nz-trade-approved.jpeg	in stock	240.00 NZD	Pricing Scales	false
29	15kg Weighing Scales and Counting - NZ Trade Approved	With counting scales there is no need to spend time (and money) manually counting screws or other parts.  These scales quickly and accurately calculate the quantity of items placed on the tray.	https://arrowwarehousing.co.nz/15kg-weighing-scales-and-counting-nz-trade-approved	http://localhost:15536/images/thumbs/0000322_15kg-weighing-scales-and-counting-nz-trade-approved.jpeg	in stock	240.00 NZD	Counting Scales	false
53	2 Tier - Hand Platform Trolley Cart	This two-tier industrial platform trolley cart has a heavy 300kg carrying capacity with removable gates. Its large 125mm (5") rubber wheels allow the trolley to glide over small bumps and debris in any warehouse, even with heavy loads, making it ideal for heavy industry applications.	https://arrowwarehousing.co.nz/2-tier-hand-platform-trolley-cart	http://localhost:15536/images/thumbs/0000377_2-tier-hand-platform-trolley-cart.jpeg	in stock	210.00 NZD	Hand Trolleys	false
56	2 Tier (Extended Length) - Platform Trolley	This 1.35m 2-tier trolley is suitable for the most demanding industrial environments and is built to last.	https://arrowwarehousing.co.nz/2-tier-extended-length-platform-trolley	http://localhost:15536/images/thumbs/0000380_2-tier-extended-length-platform-trolley.jpeg	out of stock	343.48 NZD	Hand Trolleys	false
49	2-in-1 Container Ramp 6.5 Ton (Refrigerated & Standard)	The Arrow 2-in-1 multi-functional container ramp is designed to work on all container types - both standard and refrigerated (reefer) containers.	https://arrowwarehousing.co.nz/2-in-1-container-ramp-refrigerated-standard	http://localhost:15536/images/thumbs/0000366_2-in-1-container-ramp-65-ton-refrigerated-standard.jpeg	in stock	1299.00 NZD	Container Ramps	false
66	3 kg Precision scales - NZ Trade Approved	These scales are TRADE approved for commercial use*.  Perfect for any business weighing items that require weight certification .  The scales weight to a maximum capacity of 3kg within an accuracy of 1g	https://arrowwarehousing.co.nz/3-kg-precision-scales-nz-trade-approved	http://localhost:15536/images/thumbs/0000419_3-kg-precision-scales-nz-trade-approved.jpeg	in stock	210.00 NZD	Trade Approved	false
54	3 Tier - Hand Platform Trolley Cart	This three-tier industrial platform trolley cart features large 125mm (5") nylon wheels allow the trolley to glide over small bumps and debris in any warehouse or kitchen.  Its durable design and construction makes it perfect for busy warehouses, kitchens or bakeries.	https://arrowwarehousing.co.nz/3-tier-hand-platform-trolley-cart	http://localhost:15536/images/thumbs/0000378_3-tier-hand-platform-trolley-cart.jpeg	in stock	189.00 NZD	Hand Trolleys	false
25	300kg Industrial Heavy Duty Scales (45x53cm)	This product is ideal for warehouse applications where quick and accurate pallet weighing is required.	https://arrowwarehousing.co.nz/300kg-industrial-heavy-duty-scales-45x53cm	http://localhost:15536/images/thumbs/0000317_300kg-industrial-heavy-duty-scales-45x53cm.jpeg	in stock	179.00 NZD	Parcel Scales	false
35	300kg Industrial Platform Scales (45x60cm)	These scales can weigh and count items quickly and accurately.  The 300kg capacity means it can cope with heavy or hard loading in busy commercial workplaces.	https://arrowwarehousing.co.nz/300kg-industrial-platform-scales-45x60cm	http://localhost:15536/images/thumbs/0000333_300kg-industrial-platform-scales-45x60cm.jpeg	in stock	140.00 NZD	Parcel Scales	false
28	30kg Digital Counting Scales	With a precision 1g accuracy, these digital counting scales feature a LCD screen display showing unit weight, quantity and total weight to ensure an accurate count of small items.	https://arrowwarehousing.co.nz/30kg-digital-counting-scales	http://localhost:15536/images/thumbs/0000321_30kg-digital-counting-scales.jpeg	in stock	190.00 NZD	Counting Scales	false
31	30kg Pricing Scales	These durable digital bench scales feature a LCD screen display with weight, unit price and total price (which displays on the front and back of the scales) as well as a backup battery for use with no power supply.	https://arrowwarehousing.co.nz/30kg-retail-pricing-scales	http://localhost:15536/images/thumbs/0000324_30kg-pricing-scales.jpeg	in stock	100.00 NZD	Pricing Scales	false
40	30kg Retail Pricing Weighing Scales - NZ Trade Approved	These scales are TRADE approved for retail use*.  Perfect for any business weighing and pricing items for sale to the public.  The scales weight to a maximum capacity of 30kg within an accuracy of +/- 10g.	https://arrowwarehousing.co.nz/30kg-retail-pricing-weighing-scales-nz-trade-approved	http://localhost:15536/images/thumbs/0000343_30kg-retail-pricing-weighing-scales-nz-trade-approved.jpeg	in stock	240.00 NZD	Pricing Scales	false
30	30kg Weighing Scales and Counting - NZ Trade Approved	With counting scales there is no need to spend time (and money) manually counting screws or other parts.  These scales quickly and accurately calculate the quantity of items placed on the tray.	https://arrowwarehousing.co.nz/30kg-weighing-scales-and-counting-nz-trade-approved	http://localhost:15536/images/thumbs/0000323_30kg-weighing-scales-and-counting-nz-trade-approved.jpeg	out of stock	260.00 NZD	Counting Scales	false
37	500kg Trolley Scales	These trolley scales help to increase your warehouse efficiency by allowing your staff to pick, weigh and move products all at the same time.  And with a heavy duty steel tray and a huge 500kg capacity it’s perfectly built to withstand rough treatment in busy warehouses.	https://arrowwarehousing.co.nz/500kg-trolley-scales	http://localhost:15536/images/thumbs/0000415_500kg-trolley-scales.jpeg	in stock	299.00 NZD	Heavy Duty Scales	false
24	500kg Wireless Industrial Heavy Duty Scales (63x53cm)	These wireless heavy duty  scales allow for the display unit to be wall mounted, approximately 10 meters away from the scale  providing more room to weigh and price items on the tray.	https://arrowwarehousing.co.nz/500kg-industrial-heavy-duty-scales-63x53cm	http://localhost:15536/images/thumbs/0000315_500kg-wireless-industrial-heavy-duty-scales-63x53cm.jpeg	in stock	249.00 NZD	Pallet Scales	false
65	6 kg Precision scales - NZ Trade Approved	These scales are TRADE approved for commercial use*.  Perfect for any business weighing items that require weight certification .  The scales weight to a maximum capacity of 6kg within an accuracy of 1g/2g	https://arrowwarehousing.co.nz/6-kg-precision-scales-nz-trade-approved-copy	http://localhost:15536/images/thumbs/0000420_6-kg-precision-scales-nz-trade-approved.jpeg	out of stock	200.00 NZD	Trade Approved	false
36	60kg Industrial Platform Scales (33x23cm)	These scales can weigh and count items quickly and accurately. They are ideal for packing benches where smaller packages are weighed.	https://arrowwarehousing.co.nz/60kg-industrial-platform-scales-33x23cm	http://localhost:15536/images/thumbs/0000414_60kg-industrial-platform-scales-33x23cm.jpeg	in stock	100.00 NZD	Parcel Scales	false
26	6kg Fine Precision Digital Weighing Scales	These scales can weigh in small divisions, up to 6kg in 0.1gm units.  Use when you need precision weighing of tiny substances.	https://arrowwarehousing.co.nz/6kg-fine-precision-digital-weighing-scales	http://localhost:15536/images/thumbs/0000318_6kg-fine-precision-digital-weighing-scales.jpeg	in stock	180.00 NZD	Precision Scales	false
18	Arrow 1.5T Electric Pallet Jack - standard width (550mm)	The CBD 15 series Semi Electric Hydraulic Pallet Truck with motor drive makes moving heavy pallets around your workplace much faster and easier.	https://arrowwarehousing.co.nz/arrow-15t-electric-pallet-jack-standard-width-550mm	http://localhost:15536/images/thumbs/0000307_arrow-15t-electric-pallet-jack-standard-width-550mm.jpeg	out of stock	2250.00 NZD	Pallet Jacks & Stackers	false
12	Arrow 2.0T Yellow Short Wide Bin Pallet Jack	The compact Arrow 2.0T Short Wide  Pallet Jack is perfect for small heavy objects, such as bins/hives used for produce and bee equipment.	https://arrowwarehousing.co.nz/arrow-25t-yellow-short-chep-4-way-pallet-jack-copy	http://localhost:15536/images/thumbs/0000300_arrow-20t-yellow-short-wide-bin-pallet-jack.jpeg	in stock	348.00 NZD	Pallet Jacks & Stackers	false
2	Arrow 2.5T Blue Wide Low Profile Pallet Jack	The extra width of Arrow 2.5T Blue Edition provides added stability for moving pallets of heavy items such as liquids, glass, flooring products, machinery or barrels.	https://arrowwarehousing.co.nz/arrow-25t-blue-wide-standard-2-way-pallet-jack	http://localhost:15536/images/thumbs/0000120_arrow-25t-blue-wide-low-profile-pallet-jack.jpeg	in stock	387.00 NZD	Pallet Jacks & Stackers	false
15	Arrow 2.5T FAST PUMP 4 Way Pallet Jack (Chep Compatible)	This fast pump lifts pallets twice as fast as our other jacks, making it a great solution in busy workplaces where speed is important.	https://arrowwarehousing.co.nz/arrow-25t-4-way-pallet-jack-chep-compatible	http://localhost:15536/images/thumbs/0000303_arrow-25t-fast-pump-4-way-pallet-jack-chep-compatible.jpeg	in stock	400.00 NZD	Pallet Jacks & Stackers	false
3	Arrow 2.5T Galvanised Chep 4-Way Pallet Jack	The Arrow 2.5T Galvanised "CHEP" Edition pallet truck is a tough all round jack perfect for most warehouses and workshops.	https://arrowwarehousing.co.nz/arrow-25t-galvanised-chep-4-way-pallet-jack	http://localhost:15536/images/thumbs/0000121_arrow-25t-galvanised-chep-4-way-pallet-jack.jpeg	in stock	800.00 NZD	Pallet Jacks & Stackers	false
